"Carteret County,  North Carolina", North Carolina
"Carver County,  Minnesota", Minnesota
"Cascade County,  Montana", Montana
"Casey County,  Kentucky", Kentucky
"Cass County,  Illinois", Illinois
"Cass County,  Indiana", Indiana
"Cass County,  Iowa", Iowa
"Cass County,  Michigan", Michigan
"Cass County,  Minnesota", Minnesota
"Cass County,  Missouri", Missouri
"Cass County,  Nebraska", Nebraska
"Cass County,  North Dakota", North Dakota
"Cass County,  Texas", Texas
"Cassia County,  Idaho", Idaho
"Castro County,  Texas", Texas
"Caswell County,  North Carolina", North Carolina
"Catahoula Parish,  Louisiana", Louisiana
"Cataño Municipality,  Puerto Rico", Puerto Rico
"Catawba County,  North Carolina", North Carolina
"Catoosa County,  Georgia", Georgia
"Catron County,  New Mexico", New Mexico
"Cattaraugus County,  New York", New York
"Cavalier County,  North Dakota", North Dakota
"Cayey Municipality,  Puerto Rico", Puerto Rico
"Cayuga County,  New York", New York
"Cecil County,  Maryland", Maryland
"Cedar County,  Iowa", Iowa
"Cedar County,  Missouri", Missouri
"Cedar County,  Nebraska", Nebraska
"Ceiba Municipality,  Puerto Rico", Puerto Rico
"Centre County,  Pennsylvania", Pennsylvania
"Cerro Gordo County,  Iowa", Iowa
"Chaffee County,  Colorado", Colorado
"Chambers County,  Alabama", Alabama
"Chambers County,  Texas", Texas
"Champaign County,  Illinois", Illinois
"Champaign County,  Ohio", Ohio
"Chariton County,  Missouri", Missouri
"Charles City County,  Virginia", Virginia
"Charles County,  Maryland", Maryland
"Charles Mix County,  South Dakota", South Dakota
"Charleston County,  South Carolina", South Carolina
"Charlevoix County,  Michigan", Michigan
"Charlotte County,  Florida", Florida
"Charlotte County,  Virginia", Virginia
"Charlton County,  Georgia", Georgia
"Chase County,  Kansas", Kansas
"Chase County,  Nebraska", Nebraska
"Chatham County,  Georgia", Georgia
"Chatham County,  North Carolina", North Carolina
"Chattahoochee County,  Georgia", Georgia
"Chattooga County,  Georgia", Georgia
"Chautauqua County,  Kansas", Kansas
"Chautauqua County,  New York", New York
"Chaves County,  New Mexico", New Mexico
"Cheatham County,  Tennessee", Tennessee
"Cheboygan County,  Michigan", Michigan
"Chelan County,  Washington", Washington
"Chemung County,  New York", New York
"Chenango County,  New York", New York
"Cherokee County,  Alabama", Alabama
"Cherokee County,  Georgia", Georgia
"Cherokee County,  Iowa", Iowa
"Cherokee County,  Kansas", Kansas
"Cherokee County,  North Carolina", North Carolina
"Cherokee County,  Oklahoma", Oklahoma
"Cherokee County,  South Carolina", South Carolina
"Cherokee County,  Texas", Texas
"Cherry County,  Nebraska", Nebraska
"Cheshire County,  New Hampshire", New Hampshire
"Chester County,  Pennsylvania", Pennsylvania
"Chester County,  South Carolina", South Carolina
"Chester County,  Tennessee", Tennessee
"Chesterfield County,  South Carolina", South Carolina
"Chesterfield County,  Virginia", Virginia
"Cheyenne County,  Colorado", Colorado
"Cheyenne County,  Kansas", Kansas
"Cheyenne County,  Nebraska", Nebraska
"Chickasaw County,  Iowa", Iowa
"Chickasaw County,  Mississippi", Mississippi
"Chicot County,  Arkansas", Arkansas
"Childress County,  Texas", Texas
"Chilton County,  Alabama", Alabama
"Chippewa County,  Michigan", Michigan
"Chippewa County,  Minnesota", Minnesota
"Chippewa County,  Wisconsin", Wisconsin
"Chisago County,  Minnesota", Minnesota
"Chittenden County,  Vermont", Vermont
"Choctaw County,  Alabama", Alabama
